"HGNC ID","Status","Approved symbol","Approved name","Chromosome location","Orphanet ID","OMIM ID"
"HGNC:2193","Approved","COL16A1","collagen type XVI alpha 1 chain","1p35.2",,120326
"HGNC:2194","Approved","COL17A1","collagen type XVII alpha 1 chain","10q25.1",120698,113811
"HGNC:2195","Approved","COL18A1","collagen type XVIII alpha 1 chain","21q22.3",120702,120328
"HGNC:23132","Approved","COL18A1-AS1","COL18A1 antisense RNA 1","21q22.3",,
"HGNC:40155","Approved","COL18A1-AS2","COL18A1 antisense RNA 2","21q22.3",,
"HGNC:2196","Approved","COL19A1","collagen type XIX alpha 1 chain","6q13",,120165
"HGNC:14670","Approved","COL20A1","collagen type XX alpha 1 chain","20q13.33",,
"HGNC:17025","Approved","COL21A1","collagen type XXI alpha 1 chain","6p12.1",,610002
"HGNC:22989","Approved","COL22A1","collagen type XXII alpha 1 chain","8q24.23-q24.3",,610026
"HGNC:22990","Approved","COL23A1","collagen type XXIII alpha 1 chain","5q35.3",,610043
"HGNC:20821","Approved","COL24A1","collagen type XXIV alpha 1 chain","1p22.3",,610025
"HGNC:18603","Approved","COL25A1","collagen type XXV alpha 1 chain","4q25",422551,610004
"HGNC:32963","Approved","COL25A1-DT","COL25A1 divergent transcript","4q25",,
"HGNC:18038","Approved","COL26A1","collagen type XXVI alpha 1 chain","7q22.1",,608927
"HGNC:22986","Approved","COL27A1","collagen type XXVII alpha 1 chain","9q32",441425,608461
"HGNC:22442","Approved","COL28A1","collagen type XXVIII alpha 1 chain","7p21.3",,609996
"HGNC:33789","Approved","COLCA1","colorectal cancer associated 1","11q23.1",,615693
"HGNC:26978","Approved","COLCA2","colorectal cancer associated 2","11q23.1",,615694
"HGNC:2220","Approved","COLEC10","collectin subfamily member 10","8q24.12",,607620
"HGNC:17213","Approved","COLEC11","collectin subfamily member 11","2p25.3",260599,612502
"HGNC:16016","Approved","COLEC12","collectin subfamily member 12","18p11.32",,607621
"HGNC:26182","Approved","COLGALT1","collagen beta(1-O)galactosyltransferase 1","19p13.11",470116,617531
"HGNC:16790","Approved","COLGALT2","collagen beta(1-O)galactosyltransferase 2","1q25.3",,617533
"HGNC:2225","Entry Withdrawn","COLOT1","collagen (type VI, alpha 1), overlapping transcript 1","21q22.3",,
"HGNC:2226","Approved","COLQ","collagen like tail subunit of asymmetric acetylcholinesterase","3p25.1",120761,603033
"HGNC:51196","Approved","COMETT","cytosolic oncogenic antisense to MET transcript","7q31.2",,
"HGNC:23024","Approved","COMMD1","copper metabolism domain containing 1","2p15",,607238
"HGNC:24993","Approved","COMMD2","COMM domain containing 2","3q25.1",,616699
"HGNC:23332","Approved","COMMD3","COMM domain containing 3","10p12.2",,616700
"HGNC:48326","Approved","COMMD3-BMI1","COMMD3-BMI1 readthrough","10p12.2",,
"HGNC:26027","Approved","COMMD4","COMM domain containing 4","15q24.2",,616701
"HGNC:51909","Approved","COMMD4P1","COMM domain containing 4 pseudogene 1","15q24.3",,
"HGNC:51910","Approved","COMMD4P2","COMM domain containing 4 pseudogene 2","15q24.1",,
"HGNC:17902","Approved","COMMD5","COMM domain containing 5","8q24.3",,608216
"HGNC:24015","Approved","COMMD6","COMM domain containing 6","13q22.2",,612377
"HGNC:16223","Approved","COMMD7","COMM domain containing 7","20q11.21",,616703
"HGNC:26036","Approved","COMMD8","COMM domain containing 8","4p12",,616656
"HGNC:25014","Approved","COMMD9","COMM domain containing 9","11p13",,612299
"HGNC:30201","Approved","COMMD10","COMM domain containing 10","5q23.1",,616704
"HGNC:2227","Approved","COMP","cartilage oligomeric matrix protein","19p13.11",120763,600310
"HGNC:2228","Approved","COMT","catechol-O-methyltransferase","22q11.21",241992,116790
"HGNC:26309","Approved","COMTD1","catechol-O-methyltransferase domain containing 1","10q22.2",,
"HGNC:2229","Entry Withdrawn","COP","clathrin-ordered protein","reserved",,
"HGNC:17440","Approved","COP1","COP1 E3 ubiquitin ligase","1q25.1-q25.2",,608067
"HGNC:31900","Approved","COP1P1","COP1 pseudogene 1","18p11.23",,
"HGNC:2230","Approved","COPA","COPI coat complex subunit alpha","1q23.2",448689,601924
"HGNC:2231","Approved","COPB1","COPI coat complex subunit beta 1","11p15.2",,600959
"HGNC:2232","Approved","COPB2","COPI coat complex subunit beta 2","3q23",,606990
"HGNC:53171","Approved","COPDA1","chronic obstructive pulmonary disease associated lncRNA 1","14q32.33",,
"HGNC:2234","Approved","COPE","COPI coat complex subunit epsilon","19p13.11",,606942
"HGNC:2236","Approved","COPG1","COPI coat complex subunit gamma 1","3q21.3",470118,615525
"HGNC:2237","Approved","COPG2","COPI coat complex subunit gamma 2","7q32.2",,604355
"HGNC:2238","Approved","COPG2IT1","COPG2 imprinted transcript 1","7q32",,610581
"HGNC:28848","Approved","COPRS","coordinator of PRMT5 and differentiation stimulator","17q11.2",,
"HGNC:54677","Approved","COPRSP1","COPRS pseudogene 1","2q22.1",,
"HGNC:30747","Approved","COPS2","COP9 signalosome subunit 2","15q21.1",,604508
"HGNC:2239","Approved","COPS3","COP9 signalosome subunit 3","17p11.2",,604665
"HGNC:16702","Approved","COPS4","COP9 signalosome subunit 4","4q21.22",,616008
"HGNC:2240","Approved","COPS5","COP9 signalosome subunit 5","8q13.1",,604850
"HGNC:24332","Approved","COPS5P1","COP9 signalosome subunit 5 pseudogene 1","6q16.1",,
"HGNC:45266","Approved","COPS5P2","COP9 signalosome subunit 5 pseudogene 2","12q24.31",,
"HGNC:21749","Approved","COPS6","COP9 signalosome subunit 6","7q22.1",,614729
"HGNC:16758","Approved","COPS7A","COP9 signalosome subunit 7A","12p13.31",,616009
"HGNC:16760","Approved","COPS7B","COP9 signalosome subunit 7B","2q37.1",,616010
"HGNC:24335","Approved","COPS8","COP9 signalosome subunit 8","2q37.3",,616011
"HGNC:45269","Approved","COPS8P1","COP9 signalosome subunit 8 pseudogene 1","Xq21.2",,
"HGNC:45270","Approved","COPS8P2","COP9 signalosome subunit 8 pseudogene 2","3p14.1",,
"HGNC:45271","Approved","COPS8P3","COP9 signalosome subunit 8 pseudogene 3","11q14.1",,
"HGNC:21314","Approved","COPS9","COP9 signalosome subunit 9","2q37.3",,
"HGNC:2243","Approved","COPZ1","COPI coat complex subunit zeta 1","12q13.13",,615472
"HGNC:19356","Approved","COPZ2","COPI coat complex subunit zeta 2","17q21.32",,615526
"HGNC:25223","Approved","COQ2","coenzyme Q2, polyprenyltransferase","4q21.23",120770,609825
"HGNC:18175","Approved","COQ3","coenzyme Q3, methyltransferase","6q16.2",470124,605196
"HGNC:19693","Approved","COQ4","coenzyme Q4","9q34.11",460622,612898
"HGNC:28722","Approved","COQ5","coenzyme Q5, methyltransferase","12q24.31",470126,616359
"HGNC:20233","Approved","COQ6","coenzyme Q6, monooxygenase","14q24.3",280409,614647
"HGNC:2244","Approved","COQ7","coenzyme Q7, hydroxylase","16p12.3",470128,601683
"HGNC:16812","Approved","COQ8A","coenzyme Q8A","1q42.13",140053,606980
"HGNC:19041","Approved","COQ8B","coenzyme Q8B","19q13.2",376599,615567
"HGNC:25302","Approved","COQ9","coenzyme Q9","16q21",201526,612837
"HGNC:26515","Approved","COQ10A","coenzyme Q10A","12q13.3",470120,
"HGNC:25819","Approved","COQ10B","coenzyme Q10B","2q33.1",470122,
"HGNC:44912","Approved","COQ10BP1","coenzyme Q10B pseudogene 1","10p12.1",,
"HGNC:44913","Approved","COQ10BP2","coenzyme Q10B pseudogene 2","5q14.2",,
"HGNC:2245","Entry Withdrawn","CORD1","cone rod dystrophy 1 (autosomal dominant)","18q21.1-q21.3",,
"HGNC:2247","Entry Withdrawn","CORD4","cone rod dystrophy 4","17q",,
"HGNC:2251","Entry Withdrawn","CORD8","cone rod dystrophy 8","1q12-q24",,
"HGNC:48676","Entry Withdrawn","CORD17","cone rod dystrophy 17 (autosomal dominant)","10q26",,
"HGNC:19012","Approved","CORIN","corin, serine peptidase","4p12",434292,605236
"HGNC:2252","Approved","CORO1A","coronin 1A","16p11.2",179462,605000
"HGNC:2253","Approved","CORO1B","coronin 1B","11q13.2",,609849
"HGNC:2254","Approved","CORO1C","coronin 1C","12q24.11",,605269
"HGNC:55002","Approved","CORO1CP1","CORO1C pseudogene 1","Xq21.1",,
"HGNC:2255","Approved","CORO2A","coronin 2A","9q22.33",,602159
"HGNC:2256","Approved","CORO2B","coronin 2B","15q23",,605002
"HGNC:21356","Approved","CORO6","coronin 6","17q11.2",,
"HGNC:26161","Approved","CORO7","coronin 7","16p13.3",,611668
"HGNC:44424","Approved","CORO7-PAM16","CORO7-PAM16 readthrough","16p13.3",,
"HGNC:2257","Approved","CORT","cortistatin","1p36.22",,602784
"HGNC:51610","Approved","COSMOC","cell fate and sterol metabolism associated divergent transcript of MOCOS","18q12.2",,
"HGNC:18304","Approved","COTL1","coactosin like F-actin binding protein 1","16q24.1",,606748
"HGNC:2086","Approved","COTL1P1","COTL1 pseudogene 1","17p11.2",,
"HGNC:24322","Approved","COTL1P2","COTL1 pseudogene 2","17p11.2",,
"HGNC:2265","Approved","COX4I1","cytochrome c oxidase subunit 4I1","16q24.1",,123864
"HGNC:2266","Approved","COX4I1P1","cytochrome c oxidase subunit 4I1 pseudogene 1","14q23.2",,
"HGNC:38036","Approved","COX4I1P2","cytochrome c oxidase subunit 4I1 pseudogene 2","13q14.13",,
"HGNC:16232","Approved","COX4I2","cytochrome c oxidase subunit 4I2","20q11.21",201488,607976
"HGNC:2267","Approved","COX5A","cytochrome c oxidase subunit 5A","15q24.2",,603773
"HGNC:2268","Approved","COX5AP1","cytochrome c oxidase subunit 5A pseudogene 1","14q22.3",,
"HGNC:20005","Approved","COX5AP2","cytochrome c oxidase subunit 5A pseudogene 2","14q22.1",,
"HGNC:2269","Approved","COX5B","cytochrome c oxidase subunit 5B","2q11.2",,123866
"HGNC:2270","Approved","COX5BP1","cytochrome c oxidase subunit 5B pseudogene 1","4q21.22",,
"HGNC:2271","Approved","COX5BP2","cytochrome c oxidase subunit 5B pseudogene 2","6q23.3",,
"HGNC:2272","Approved","COX5BP3","cytochrome c oxidase subunit 5B pseudogene 3","7q33",,
"HGNC:2273","Approved","COX5BP4","cytochrome c oxidase subunit 5B pseudogene 4","11q14.1",,
"HGNC:2274","Approved","COX5BP5","cytochrome c oxidase subunit 5B pseudogene 5","12q13.12",,
"HGNC:2275","Approved","COX5BP6","cytochrome c oxidase subunit 5B pseudogene 6","13q32.3",,
"HGNC:2276","Approved","COX5BP7","cytochrome c oxidase subunit 5B pseudogene 7","22q13.1",,
"HGNC:39083","Approved","COX5BP8","cytochrome c oxidase subunit 5B pseudogene 8","1q25.2",,
"HGNC:2277","Approved","COX6A1","cytochrome c oxidase subunit 6A1","12q24.31",444671,602072
"HGNC:2278","Approved","COX6A1P1","cytochrome c oxidase subunit 6A1 pseudogene 1","1p31.1",,
"HGNC:35239","Approved","COX6A1P2","cytochrome c oxidase subunit 6A1 pseudogene 2","6p21.2",,
"HGNC:37633","Approved","COX6A1P3","cytochrome c oxidase subunit 6A1 pseudogene 3","6q22.31",,
"HGNC:2279","Approved","COX6A2","cytochrome c oxidase subunit 6A2","16p11.2",,602009
"HGNC:2280","Approved","COX6B1","cytochrome c oxidase subunit 6B1","19q13.12",167892,124089
"HGNC:2281","Approved","COX6B1P1","cytochrome c oxidase subunit 6B1 pseudogene 1","7q36.1",,
"HGNC:2282","Approved","COX6B1P2","cytochrome c oxidase subunit 6B1 pseudogene 2","17q21.32",,
"HGNC:2283","Approved","COX6B1P3","cytochrome c oxidase subunit 6B1 pseudogene 3","22q13.1",,
"HGNC:2284","Approved","COX6B1P4","cytochrome c oxidase subunit 6B1 pseudogene 4","8p21.2",,
"HGNC:37675","Approved","COX6B1P5","cytochrome c oxidase subunit 6B1 pseudogene 5","4p16.3",,
"HGNC:37676","Approved","COX6B1P6","cytochrome c oxidase subunit 6B1 pseudogene 6","8q21.3",,
"HGNC:37677","Approved","COX6B1P7","cytochrome c oxidase subunit 6B1 pseudogene 7","1p31.3",,
"HGNC:24380","Approved","COX6B2","cytochrome c oxidase subunit 6B2","19q13.42",,618127
"HGNC:2285","Approved","COX6C","cytochrome c oxidase subunit 6C","8q22.2",,124090
"HGNC:2286","Approved","COX6CP1","cytochrome c oxidase subunit 6C pseudogene 1","16p13.13",,
"HGNC:16600","Approved","COX6CP2","cytochrome c oxidase subunit 6C pseudogene 2","20q13.13",,
"HGNC:31721","Approved","COX6CP3","cytochrome c oxidase subunit 6C pseudogene 3","18p11.32",,
"HGNC:32374","Approved","COX6CP4","cytochrome c oxidase subunit 6C pseudogene 4","15q14",,
"HGNC:42791","Approved","COX6CP5","cytochrome c oxidase subunit 6C pseudogene 5","11p15.4",,
"HGNC:47037","Approved","COX6CP6","cytochrome c oxidase subunit 6C pseudogene 6","3p13",,
"HGNC:49359","Approved","COX6CP7","cytochrome c oxidase subunit 6C pseudogene 7","19q13.33",,
"HGNC:49360","Approved","COX6CP8","cytochrome c oxidase subunit 6C pseudogene 8","8q12.3",,
"HGNC:49361","Approved","COX6CP9","cytochrome c oxidase subunit 6C pseudogene 9","4q21.1",,
"HGNC:49362","Approved","COX6CP10","cytochrome c oxidase subunit 6C pseudogene 10","3p22.3",,
"HGNC:49363","Approved","COX6CP11","cytochrome c oxidase subunit 6C pseudogene 11","14q24.3",,
"HGNC:49364","Approved","COX6CP12","cytochrome c oxidase subunit 6C pseudogene 12","Xq13.1",,
"HGNC:49365","Approved","COX6CP13","cytochrome c oxidase subunit 6C pseudogene 13","1p31.3",,
"HGNC:49366","Approved","COX6CP14","cytochrome c oxidase subunit 6C pseudogene 14","3p21.31",,
"HGNC:49368","Approved","COX6CP15","cytochrome c oxidase subunit 6C pseudogene 15","10q22.3",,
"HGNC:49367","Approved","COX6CP16","cytochrome c oxidase subunit 6C pseudogene 16","16q24.1",,
"HGNC:49369","Approved","COX6CP17","cytochrome c oxidase subunit 6C pseudogene 17","10p14",,
"HGNC:49370","Approved","COX6CP18","cytochrome c oxidase subunit 6C pseudogene 18","11p15.5",,
"HGNC:2287","Approved","COX7A1","cytochrome c oxidase subunit 7A1","19q13.12",,123995
"HGNC:2288","Approved","COX7A2","cytochrome c oxidase subunit 7A2","6q14.1",,123996
"HGNC:2289","Approved","COX7A2L","cytochrome c oxidase subunit 7A2 like","2p21",,605771
"HGNC:20006","Approved","COX7A2P1","cytochrome c oxidase subunit 7A2 pseudogene 1","14q24.1",,
"HGNC:2290","Approved","COX7A2P2","cytochrome c oxidase subunit 7A2 pseudogene 2","4q22.3",,123997
"HGNC:2291","Approved","COX7B","cytochrome c oxidase subunit 7B","Xq21.1",325017,300885
"HGNC:24381","Approved","COX7B2","cytochrome c oxidase subunit 7B2","4p12",,609811
"HGNC:16529","Approved","COX7BP1","cytochrome c oxidase subunit 7B pseudogene 1","22q12.3",,
"HGNC:16601","Approved","COX7BP2","cytochrome c oxidase subunit 7B pseudogene 2","20q11.23",,
"HGNC:2292","Approved","COX7C","cytochrome c oxidase subunit 7C","5q14.3",,603774
"HGNC:2293","Approved","COX7CP1","cytochrome c oxidase subunit 7C pseudogene 1","13q14.2",,
"HGNC:2294","Approved","COX8A","cytochrome c oxidase subunit 8A","11q13.1",456175,123870
"HGNC:31395","Approved","COX8BP","cytochrome c oxidase subunit 8B, pseudogene","11p15.5",,
"HGNC:24382","Approved","COX8C","cytochrome c oxidase subunit 8C","14q32.12",,616855
"HGNC:2260","Approved","COX10","cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10","17p12",120774,602125
"HGNC:38873","Approved","COX10-AS1","COX10 antisense RNA 1","17p12",,
"HGNC:2261","Approved","COX11","cytochrome c oxidase copper chaperone COX11","17q22",,603648
"HGNC:2262","Approved","COX11P1","COX11 pseudogene 1","6p22.1",,
"HGNC:28216","Approved","COX14","cytochrome c oxidase assembly factor COX14","12q13.12",291843,614478
"HGNC:2263","Approved","COX15","cytochrome c oxidase assembly homolog COX15","10q24.2",120776,603646
"HGNC:20213","Approved","COX16","cytochrome c oxidase assembly factor COX16","14q24.2",,618064
"HGNC:2264","Approved","COX17","cytochrome c oxidase copper chaperone COX17","3q13.33",,604813
"HGNC:24341","Approved","COX17P1","COX17 pseudogene 1","13q14.13",,
"HGNC:26801","Approved","COX18","cytochrome c oxidase assembly factor COX18","4q13.3",,610428
"HGNC:28074","Approved","COX19","cytochrome c oxidase assembly factor COX19","7p22.3",,610429
"HGNC:26970","Approved","COX20","cytochrome c oxidase assembly factor COX20","1q44",326052,614698
"HGNC:31435","Approved","COX20P1","COX20 pseudogene 1","10q21.3",,
"HGNC:43772","Approved","COX20P2","COX20 pseudogene 2","2q37.1",,
"HGNC:2295","Approved","CP","ceruloplasmin","3q24-q25.1",120778,117700
"HGNC:2296","Approved","CPA1","carboxypeptidase A1","7q32.2",405057,114850
"HGNC:2297","Approved","CPA2","carboxypeptidase A2","7q32.2",,600688
"HGNC:2298","Approved","CPA3","carboxypeptidase A3","3q24",,114851
"HGNC:15740","Approved","CPA4","carboxypeptidase A4","7q32.2",,607635
"HGNC:15722","Approved","CPA5","carboxypeptidase A5","7q32.2",,609561
"HGNC:17245","Approved","CPA6","carboxypeptidase A6","8q13.2",120780,609562
"HGNC:23228","Approved","CPAMD8","C3 and PZP like alpha-2-macroglobulin domain containing 8","19p13.11",,608841
"HGNC:30998","Entry Withdrawn","CPAT1","cerebral palsy, ataxic 1","9p12-q12",,
"HGNC:2299","Approved","CPB1","carboxypeptidase B1","3q24",,114852
"HGNC:2300","Approved","CPB2","carboxypeptidase B2","13q14.13",,603101
"HGNC:39898","Approved","CPB2-AS1","CPB2 antisense RNA 1","13q14.13",,
"HGNC:2301","Approved","CPD","carboxypeptidase D","17q11.2",,603102
"HGNC:53102","Approved","CPDP1","carboxypeptidase D pseudogene 1","17q11.2",,
"HGNC:2303","Approved","CPE","carboxypeptidase E","4q32.3",,114855
"HGNC:21744","Approved","CPEB1","cytoplasmic polyadenylation element binding protein 1","15q25.2",,607342
"HGNC:27523","Approved","CPEB1-AS1","CPEB1 antisense RNA 1","15q25.2",,
"HGNC:21745","Approved","CPEB2","cytoplasmic polyadenylation element binding protein 2","4p15.32",,610605
"HGNC:49082","Approved","CPEB2-DT","CPEB2 divergent transcript","4p15.33-p15.32",,
"HGNC:21746","Approved","CPEB3","cytoplasmic polyadenylation element binding protein 3","10q23.32",,610606
"HGNC:21747","Approved","CPEB4","cytoplasmic polyadenylation element binding protein 4","5q35.2",,610607
"HGNC:26159","Approved","CPED1","cadherin like and PC-esterase domain containing 1","7q31.31",,
"HGNC:31714","Approved","CPHL1P","ceruloplasmin and hephaestin like 1, pseudogene","3q25.1",,
"HGNC:51815","Approved","CPHXL","cytoplasmic polyadenylated homeobox like","16q23.1",,618700
"HGNC:2308","Entry Withdrawn","CPL1","ceruloplasmin-like 1","15q11-qter",,
"HGNC:25801","Approved","CPLANE1","ciliogenesis and planar polarity effector 1","5p13.2",299619,614571
"HGNC:28127","Approved","CPLANE2","ciliogenesis and planar polarity effector 2","1p36.13",,
"HGNC:2309","Approved","CPLX1","complexin 1","4p16.3",,605032
"HGNC:2310","Approved","CPLX2","complexin 2","5q35.2",,605033
"HGNC:27652","Approved","CPLX3","complexin 3","15q24.1",,609585
"HGNC:24330","Approved","CPLX4","complexin 4","18q21.32",,609586
"HGNC:2311","Approved","CPM","carboxypeptidase M","12q15",,114860
"HGNC:2312","Approved","CPN1","carboxypeptidase N subunit 1","10q24.2",,603103
"HGNC:2313","Approved","CPN2","carboxypeptidase N subunit 2","3q29",,603104
"HGNC:2314","Approved","CPNE1","copine 1","20q11.22",,604205
"HGNC:2315","Approved","CPNE2","copine 2","16q13",,604206
"HGNC:2316","Approved","CPNE3","copine 3","8q21.3",,604207
"HGNC:2317","Approved","CPNE4","copine 4","3q22.1",,604208
"HGNC:2318","Approved","CPNE5","copine 5","6p21.2",,604209
"HGNC:2319","Approved","CPNE6","copine 6","14q11.2",,605688
"HGNC:2320","Approved","CPNE7","copine 7","16q24.3",,605689
"HGNC:23498","Approved","CPNE8","copine 8","12q12",,
"HGNC:53937","Approved","CPNE8-AS1","CPNE8 antisense RNA 1","12q12",,
"HGNC:24336","Approved","CPNE9","copine family member 9","3p25.3",,
"HGNC:21011","Approved","CPO","carboxypeptidase O","2q33.3",,609563
"HGNC:2321","Approved","CPOX","coproporphyrinogen oxidase","3q11.2",120783,612732
"HGNC:2322","Approved","CPP","ceruloplasmin pseudogene","8q21.3",,
"HGNC:25632","Approved","CPPED1","calcineurin like phosphoesterase domain containing 1","16p13.12",,615603
"HGNC:16910","Approved","CPQ","carboxypeptidase Q","8q22.1",,618754
"HGNC:2323","Approved","CPS1","carbamoyl-phosphate synthase 1","2q34",120788,608307
"HGNC:30102","Approved","CPS1-IT1","CPS1 intronic transcript 1","2q34",,
"HGNC:2324","Approved","CPSF1","cleavage and polyadenylation specific factor 1","8q24.3",470130,606027
"HGNC:19251","Approved","CPSF1P1","CPSF1 pseudogene 1","22q12.3",,
"HGNC:54959","Approved","CPSF1P2","CPSF1 pseudogene 2","Xp11.23",,
"HGNC:2325","Approved","CPSF2","cleavage and polyadenylation specific factor 2","14q32.12",,606028
"HGNC:2326","Approved","CPSF3","cleavage and polyadenylation specific factor 3","2p25.1",,606029
"HGNC:2327","Approved","CPSF4","cleavage and polyadenylation specific factor 4","7q22.1",,603052
"HGNC:33632","Approved","CPSF4L","cleavage and polyadenylation specific factor 4 like","17q25.1",,
"HGNC:13871","Approved","CPSF6","cleavage and polyadenylation specific factor 6","12q15",,604979
"HGNC:30098","Approved","CPSF7","cleavage and polyadenylation specific factor 7","11q12.2",,
"HGNC:2328","Approved","CPT1A","carnitine palmitoyltransferase 1A","11q13.3",120790,600528
"HGNC:2329","Approved","CPT1B","carnitine palmitoyltransferase 1B","22q13.33",,601987
"HGNC:18540","Approved","CPT1C","carnitine palmitoyltransferase 1C","19q13.33",448705,608846
"HGNC:2330","Approved","CPT2","carnitine palmitoyltransferase 2","1p32.3",120795,600650
"HGNC:49538","Approved","CPT2P1","carnitine palmitoyltransferase 2 pseudogene 1","1p32.3",,
"HGNC:28116","Approved","CPTP","ceramide-1-phosphate transfer protein","1p36.33",,615467
"HGNC:14399","Approved","CPVL","carboxypeptidase vitellogenic like","7p14.3",,609780
"HGNC:40685","Approved","CPVL-AS1","CPVL antisense RNA 1","7p14.3",,
"HGNC:2332","Approved","CPXCR1","CPX chromosome region candidate 1","Xq21.31",,
"HGNC:15771","Approved","CPXM1","carboxypeptidase X, M14 family member 1","20p13",,609555
"HGNC:26977","Approved","CPXM2","carboxypeptidase X, M14 family member 2","10q26.13",,617348
"HGNC:2333","Approved","CPZ","carboxypeptidase Z","4p16.1",,603105
"HGNC:2334","Approved","CR1","complement C3b/C4b receptor 1 (Knops blood group)","1q32.2",,120620
"HGNC:2335","Approved","CR1L","complement C3b/C4b receptor 1 like","1q32.2",,605886
"HGNC:2336","Approved","CR2","complement C3d receptor 2","1q32.2",160142,120650
"HGNC:2338","Approved","CRABP1","cellular retinoic acid binding protein 1","15q25.1",,180230
"HGNC:2339","Approved","CRABP2","cellular retinoic acid binding protein 2","1q23.1",,180231
"HGNC:29219","Approved","CRACD","capping protein inhibiting regulator of actin dynamics","4q12",,618327
"HGNC:33454","Approved","CRACDL","CRACD like","2q11.2",,
"HGNC:28657","Approved","CRACR2A","calcium release activated channel regulator 2A","12p13.32",,614178
"HGNC:28703","Approved","CRACR2B","calcium release activated channel regulator 2B","11p15.5",,614177
"HGNC:2340","Approved","CRADD","CASP2 and RIPK1 domain containing adaptor with death domain","12q22",303823,603454
"HGNC:14122","Approved","CRAMP1","cramped chromatin regulator homolog 1","16p13.3",,
"HGNC:2342","Approved","CRAT","carnitine O-acetyltransferase","9q34.11",470132,600184
"HGNC:2343","Approved","CRB1","crumbs cell polarity complex component 1","1q31.3",120803,604210
"HGNC:18688","Approved","CRB2","crumbs cell polarity complex component 2","9q33.3",422255,609720
"HGNC:20237","Approved","CRB3","crumbs cell polarity complex component 3","19p13.3",,609737
"HGNC:49684","Approved","CRB3P1","crumbs cell polarity complex component 3 pseudogene 1","3p26.3",,
"HGNC:30185","Approved","CRBN","cereblon","3p26.2",120811,609262
"HGNC:17888","Approved","CRCP","CGRP receptor component","7q11.21",,606121
"HGNC:29875","Approved","CRCT1","cysteine rich C-terminal 1","1q21.3",,617426
"HGNC:2345","Approved","CREB1","cAMP responsive element binding protein 1","2q33.3",246689,123810
"HGNC:2347","Approved","CREB3","cAMP responsive element binding protein 3","9p13.3",,606443
"HGNC:18856","Approved","CREB3L1","cAMP responsive element binding protein 3 like 1","11p11.2",209329,616215
"HGNC:23720","Approved","CREB3L2","cAMP responsive element binding protein 3 like 2","7q33",209325,608834
"HGNC:41030","Approved","CREB3L2-AS1","CREB3L2 antisense RNA 1","7q33",,
"HGNC:18855","Approved","CREB3L3","cAMP responsive element binding protein 3 like 3","19p13.3",317857,611998
"HGNC:18854","Approved","CREB3L4","cAMP responsive element binding protein 3 like 4","1q21.3",,607138
"HGNC:16844","Approved","CREB5","cAMP responsive element binding protein 5","7p15.1-p14.3",,618262
"HGNC:2348","Approved","CREBBP","CREB binding protein","16p13.3",120814,600140
"HGNC:2350","Approved","CREBL2","cAMP responsive element binding protein like 2","12p13.1",,603476
"HGNC:24050","Approved","CREBRF","CREB3 regulatory factor","5q35.1",,617109
"HGNC:24905","Approved","CREBZF","CREB/ATF bZIP transcription factor","11q14.1",,606444
"HGNC:2351","Approved","CREG1","cellular repressor of E1A stimulated genes 1","1q24.2",,618055
"HGNC:14272","Approved","CREG2","cellular repressor of E1A stimulated genes 2","2q11.2",,618540
"HGNC:14630","Approved","CRELD1","cysteine rich with EGF like domains 1","3p25.3",120819,607170
"HGNC:28150","Approved","CRELD2","cysteine rich with EGF like domains 2","22q13.33",,607171
"HGNC:2352","Approved","CREM","cAMP responsive element modulator","10p11.21",,123812
"HGNC:2355","Approved","CRH","corticotropin releasing hormone","8q13.1",394137,122560
"HGNC:2356","Approved","CRHBP","corticotropin releasing hormone binding protein","5q13.3",,122559
"HGNC:2357","Approved","CRHR1","corticotropin releasing hormone receptor 1","17q21.31",,122561
"HGNC:2358","Approved","CRHR2","corticotropin releasing hormone receptor 2","7p14.3",,602034
"HGNC:2359","Approved","CRIM1","cysteine rich transmembrane BMP regulator 1","2p22.2",476789,606189
"HGNC:54057","Approved","CRIM1-DT","CRIM1 divergent transcript","2p22.2",,
"HGNC:2360","Approved","CRIP1","cysteine rich protein 1","14q32.33",,123875
"HGNC:44516","Approved","CRIP1P1","cysteine rich protein 1 pseudogene 1","3p25.2",,
"HGNC:44517","Approved","CRIP1P2","cysteine rich protein 1 pseudogene 2","3p24.2",,
"HGNC:44518","Approved","CRIP1P3","cysteine rich protein 1 pseudogene 3","1q32.1",,
"HGNC:44519","Approved","CRIP1P4","cysteine rich protein 1 pseudogene 4","22q11.23",,
"HGNC:2361","Approved","CRIP2","cysteine rich protein 2","14q32.33",,601183
"HGNC:17751","Approved","CRIP3","cysteine rich protein 3","6p21.1",,
"HGNC:26619","Entry Withdrawn","CRIPAK","cysteine rich PAK1 inhibitor","4p16.3",,
"HGNC:14312","Approved","CRIPT","CXXC repeat containing interactor of PDZ3 domain","2p21",,604594
"HGNC:304","Approved","CRISP1","cysteine rich secretory protein 1","6p12.3",,601193
"HGNC:12024","Approved","CRISP2","cysteine rich secretory protein 2","6p12.3",,187430
"HGNC:16904","Approved","CRISP3","cysteine rich secretory protein 3","6p12.3",,618062
"HGNC:18206","Approved","CRISPLD1","cysteine rich secretory protein LCCL domain containing 1","8q21.13",,
"HGNC:25248","Approved","CRISPLD2","cysteine rich secretory protein LCCL domain containing 2","16q24.1",,612434
